census_accession,census_class,census_identity_status,source_identifiers,fetch_failed,fetch_error,fetched_on,uniprot_release,span_aa_v1,span_aa,span_rule,span_category,no_span_reason,span_boundary_coordinate,terms_unruled,terms_held,parsed_under
Q7L1W4,non_surface,active,LRC8D_HUMAN,false,,2026-08-06,2004-07-05,115,115,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9Y2L9,non_surface,active,LRCH1_HUMAN,false,,2026-08-06,2010-05-18,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
O75427,non_surface,active,LRCH4_HUMAN,false,,2026-08-06,2004-06-21,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q12912,non_surface,active,LRMP_HUMAN,false,,2026-08-06,2011-01-11,,39,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
A6NJW4,non_surface,active,LRR3C_HUMAN,false,,2026-08-06,2008-09-02,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q7Z2Q7,non_surface,active,LRR70_HUMAN,false,,2026-08-06,2003-10-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q86UE6,non_surface,active,LRRT1_HUMAN,false,,2026-08-06,2007-03-06,393,393,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8N112,non_surface,active,LSME2_HUMAN,false,,2026-08-06,2002-10-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
O00453,non_surface,active,LST1_HUMAN,false,,2026-08-06,2008-09-23,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q16873,non_surface,active,LTC4S_HUMAN,false,,2026-08-06,1996-11-01,,21,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q6P1Q0,non_surface,active,LTMD1_HUMAN,false,,2026-08-06,2004-07-05,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q86UE4,non_surface,active,LYRIC_HUMAN,false,,2026-08-06,2004-12-21,,48,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q5XG99,non_surface,active,LYSM4_HUMAN,false,,2026-08-06,2007-11-13,217,217,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q567V2,non_surface,active,M17L2_HUMAN,false,,2026-08-06,2008-02-05,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96PG2,non_surface,active,M4A10_HUMAN,false,,2026-08-06,2010-05-18,29,29,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q5J8X5,non_surface,active,M4A13_HUMAN,false,,2026-08-06,2011-05-31,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96JA4,non_surface,active,M4A14_HUMAN,false,,2026-08-06,2010-05-18,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q3C1V0,non_surface,active,M4A18_HUMAN,false,,2026-08-06,2024-05-29,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96PG1,non_surface,active,M4A4E_HUMAN,false,,2026-08-06,2008-05-20,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96DS6,non_surface,active,M4A6E_HUMAN,false,,2026-08-06,2001-12-01,47,47,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9BY19,non_surface,active,M4A8_HUMAN,false,,2026-08-06,2001-06-01,23,23,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q12851,non_surface,active,M4K2_HUMAN,false,,2026-08-06,2008-11-25,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P33908,non_surface,active,MA1A1_HUMAN,false,,2026-08-06,2005-04-26,,591,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
O60476,non_surface,active,MA1A2_HUMAN,false,,2026-08-06,1998-08-01,,584,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9UKM7,non_surface,active,MA1B1_HUMAN,false,,2026-08-06,2006-03-07,,594,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9NR34,non_surface,active,MA1C1_HUMAN,false,,2026-08-06,2000-10-01,,587,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q16706,non_surface,active,MA2A1_HUMAN,false,,2026-08-06,2007-05-01,,1118,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
P49641,non_surface,active,MA2A2_HUMAN,false,,2026-08-06,2011-09-21,,770,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8N5G2,non_surface,active,MACOI_HUMAN,false,,2026-08-06,2002-10-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8WXG6,non_surface,active,MADD_HUMAN,false,,2026-08-06,2007-02-20,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9H213,non_surface,active,MAGH1_HUMAN,false,,2026-08-06,2001-03-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9BSK0,non_surface,active,MALD1_HUMAN,false,,2026-08-06,2001-06-01,23,23,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8N4S9,non_surface,active,MALD2_HUMAN,false,,2026-08-06,2011-01-11,16,16,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96A59,non_surface,active,MALD3_HUMAN,false,,2026-08-06,2008-10-14,39,39,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q13021,non_surface,active,MALL_HUMAN,false,,2026-08-06,2002-05-27,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P21145,non_surface,active,MAL_HUMAN,false,,2026-08-06,1991-05-01,11,11,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9Y2U8,non_surface,active,MAN1_HUMAN,false,,2026-08-06,2000-10-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9NQG1,non_surface,active,MANBL_HUMAN,false,,2026-08-06,2000-10-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q5SRI9,non_surface,active,MANEA_HUMAN,false,,2026-08-06,2004-12-21,,433,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q5VSG8,non_surface,active,MANEL_HUMAN,false,,2026-08-06,2004-12-07,,428,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8IW41,non_surface,active,MAPK5_HUMAN,false,,2026-08-06,2004-09-13,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q16655,non_surface,active,MAR1_HUMAN,false,,2026-08-06,1996-11-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q5VT66,non_surface,active,MARC1_HUMAN,false,,2026-08-06,2004-12-07,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q969Z3,non_surface,active,MARC2_HUMAN,false,,2026-08-06,2001-12-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8TCQ1,non_surface,active,MARH1_HUMAN,false,,2026-08-06,2002-06-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9P0N8,non_surface,active,MARH2_HUMAN,false,,2026-08-06,2000-10-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q86UD3,non_surface,active,MARH3_HUMAN,false,,2026-08-06,2003-06-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9P2E8,non_surface,active,MARH4_HUMAN,false,,2026-08-06,2005-02-15,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9NX47,non_surface,active,MARH5_HUMAN,false,,2026-08-06,2000-10-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q5T0T0,non_surface,active,MARH8_HUMAN,false,,2026-08-06,2005-04-12,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q86YJ5,non_surface,active,MARH9_HUMAN,false,,2026-08-06,2004-03-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
A6NNE9,non_surface,active,MARHB_HUMAN,false,,2026-08-06,2008-06-10,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q6P0Q8,non_surface,active,MAST2_HUMAN,false,,2026-08-06,2005-03-29,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q7Z434,non_surface,active,MAVS_HUMAN,false,,2026-08-06,2004-05-10,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q6ZNC8,non_surface,active,MBOA1_HUMAN,false,,2026-08-06,2004-07-05,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q6ZWT7,non_surface,active,MBOA2_HUMAN,false,,2026-08-06,2007-04-03,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96T53,non_surface,active,MBOA4_HUMAN,false,,2026-08-06,2008-04-08,,19,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q6P1A2,non_surface,active,MBOA5_HUMAN,false,,2026-08-06,2004-07-05,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96N66,non_surface,active,MBOA7_HUMAN,false,,2026-08-06,2008-02-05,,165,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q4ZIN3,non_surface,active,MBRL_HUMAN,false,,2026-08-06,2005-06-07,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q14703,non_surface,active,MBTP1_HUMAN,false,,2026-08-06,1996-11-01,,812,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
O43462,non_surface,active,MBTP2_HUMAN,false,,2026-08-06,1998-06-01,,195,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
O43772,non_surface,active,MCAT_HUMAN,false,,2026-08-06,1998-06-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q07820,non_surface,active,MCL1_HUMAN,false,,2026-08-06,2005-12-06,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8IZK6,non_surface,active,MCLN2_HUMAN,false,,2026-08-06,2008-07-22,202,202,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q6DN14,non_surface,active,MCTP1_HUMAN,false,,2026-08-06,2010-07-13,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9NWR8,non_surface,active,MCUB_HUMAN,false,,2026-08-06,2007-04-03,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96AQ8,non_surface,active,MCUR1_HUMAN,false,,2026-08-06,2001-12-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8NE86,non_surface,active,MCU_HUMAN,false,,2026-08-06,2002-10-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
O75448,non_surface,active,MED24_HUMAN,false,,2026-08-06,1998-11-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
O95772,non_surface,active,MENTO_HUMAN,false,,2026-08-06,1999-05-01,23,23,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q5EB52,non_surface,active,MEST_HUMAN,false,,2026-08-06,2007-04-17,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q86YR7,non_surface,active,MF2L2_HUMAN,false,,2026-08-06,2011-01-11,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9GZY8,non_surface,active,MFF_HUMAN,false,,2026-08-06,2001-03-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8IWA4,non_surface,active,MFN1_HUMAN,false,,2026-08-06,2018-03-28,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
O95140,non_surface,active,MFN2_HUMAN,false,,2026-08-06,2004-05-24,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
O00587,non_surface,active,MFNG_HUMAN,false,,2026-08-06,2002-03-27,,294,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q14728,non_surface,active,MFS10_HUMAN,false,,2026-08-06,1996-11-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96ES6,non_surface,active,MFSD3_HUMAN,false,,2026-08-06,2001-12-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P26572,non_surface,active,MGAT1_HUMAN,false,,2026-08-06,2010-11-02,,416,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q10469,non_surface,active,MGAT2_HUMAN,false,,2026-08-06,1996-10-01,,418,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q09327,non_surface,active,MGAT3_HUMAN,false,,2026-08-06,2005-03-15,,510,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
P10620,non_surface,active,MGST1_HUMAN,false,,2026-08-06,1989-07-01,,7,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q99735,non_surface,active,MGST2_HUMAN,false,,2026-08-06,1997-05-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
O14880,non_surface,active,MGST3_HUMAN,false,,2026-08-06,1998-01-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9UM21,non_surface,active,MGT4A_HUMAN,false,,2026-08-06,2000-05-01,,508,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9UQ53,non_surface,active,MGT4B_HUMAN,false,,2026-08-06,2000-05-01,,520,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9UBM8,non_surface,active,MGT4C_HUMAN,false,,2026-08-06,2010-05-18,,434,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q09328,non_surface,active,MGT5A_HUMAN,false,,2026-08-06,1995-11-01,,711,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q3V5L5,non_surface,active,MGT5B_HUMAN,false,,2026-08-06,2007-05-29,,747,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q5TGZ0,non_surface,active,MIC10_HUMAN,false,,2026-08-06,2004-12-21,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q6UXV4,non_surface,active,MIC27_HUMAN,false,,2026-08-06,2004-07-05,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q16891,non_surface,active,MIC60_HUMAN,false,,2026-08-06,1996-11-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q86XE3,non_surface,active,MICU3_HUMAN,false,,2026-08-06,2003-06-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96C03,non_surface,active,MID49_HUMAN,false,,2026-08-06,2001-12-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9NQG6,non_surface,active,MID51_HUMAN,false,,2026-08-06,2000-10-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q75NE6,non_surface,active,MIRH1_HUMAN,false,,2026-08-06,2004-07-05,27,27,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8IXI2,non_surface,active,MIRO1_HUMAN,false,,2026-08-06,2006-06-13,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8IXI1,non_surface,active,MIRO2_HUMAN,false,,2026-08-06,2006-06-13,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q14165,non_surface,active,MLEC_HUMAN,false,,2026-08-06,1996-11-01,,241,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8N4V1,non_surface,active,MMGT1_HUMAN,false,,2026-08-06,2002-10-01,,21,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
O75900,non_surface,active,MMP23_HUMAN,false,,2026-08-06,2006-10-31,,350,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q13724,non_surface,active,MOGS_HUMAN,false,,2026-08-06,2006-10-17,,778,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96PD6,non_surface,active,MOGT1_HUMAN,false,,2026-08-06,2010-03-23,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q3SYC2,non_surface,active,MOGT2_HUMAN,false,,2026-08-06,2006-09-05,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q86VF5,non_surface,active,MOGT3_HUMAN,false,,2026-08-06,2003-06-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q7RTY0,non_surface,active,MOT13_HUMAN,false,,2026-08-06,2003-12-15,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q2QL34,non_surface,active,MP17L_HUMAN,false,,2026-08-06,2006-01-24,,42,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
P0DKB6,non_surface,active,MPC1L_HUMAN,false,,2026-08-06,2012-10-03,,,,term_unruled,topological domain description(s) outside the ruled vocabulary: Mother cell cytoplasmic,,Mother cell cytoplasmic,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9Y5U8,non_surface,active,MPC1_HUMAN,false,,2026-08-06,1999-11-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
O95563,non_surface,active,MPC2_HUMAN,false,,2026-08-06,1999-05-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q00325,non_surface,active,MPCP_HUMAN,false,,2026-08-06,1995-02-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q53F39,non_surface,active,MPPE1_HUMAN,false,,2026-08-06,2008-11-25,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q86WK9,non_surface,active,MPRA_HUMAN,false,,2026-08-06,2003-06-01,18,18,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
O75352,non_surface,active,MPU1_HUMAN,false,,2026-08-06,2008-11-25,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P39210,non_surface,active,MPV17_HUMAN,false,,2026-08-06,1995-02-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8TCY5,non_surface,active,MRAP_HUMAN,false,,2026-08-06,2006-10-17,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q68CQ1,non_surface,active,MROH7_HUMAN,false,,2026-08-06,2011-01-11,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9HD23,non_surface,active,MRS2_HUMAN,false,,2026-08-06,2001-03-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q15800,non_surface,active,MSMO1_HUMAN,false,,2026-08-06,1997-11-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9UJG1,non_surface,active,MSPD1_HUMAN,false,,2026-08-06,2000-05-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8NHP6,non_surface,active,MSPD2_HUMAN,false,,2026-08-06,2002-10-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
O75425,non_surface,active,MSPD3_HUMAN,false,,2026-08-06,1998-11-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8WXB1,non_surface,active,MT21A_HUMAN,false,,2026-08-06,2007-06-26,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q13613,non_surface,active,MTMR1_HUMAN,false,,2026-08-06,2003-07-19,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q13505,non_surface,active,MTX1_HUMAN,false,,2026-08-06,2018-03-28,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q969V5,non_surface,active,MUL1_HUMAN,false,,2026-08-06,2001-12-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8N699,non_surface,active,MYCT1_HUMAN,false,,2026-08-06,2002-10-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96EZ4,non_surface,active,MYEOV_HUMAN,false,,2026-08-06,2010-05-18,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9NQX4,non_surface,active,MYO5C_HUMAN,false,,2026-08-06,2010-04-20,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
B2RTY4,non_surface,active,MYO9A_HUMAN,false,,2026-08-06,2010-05-18,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q14CX7,non_surface,active,NAA25_HUMAN,false,,2026-08-06,2006-08-22,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9Y3Q0,non_surface,active,NALD2_HUMAN,false,,2026-08-06,1999-11-01,709,709,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9C000,non_surface,active,NALP1_HUMAN,false,,2026-08-06,2001-06-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96P20,non_surface,active,NALP3_HUMAN,false,,2026-08-06,2009-11-03,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P59044,non_surface,active,NALP6_HUMAN,false,,2026-08-06,2009-09-22,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q7RTR0,non_surface,active,NALP9_HUMAN,false,,2026-08-06,2003-12-15,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9H0A0,non_surface,active,NAT10_HUMAN,false,,2026-08-06,2010-11-30,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8WUY8,non_surface,active,NAT14_HUMAN,false,,2026-08-06,2002-03-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9UHF3,non_surface,active,NAT8B_HUMAN,false,,2026-08-06,2000-05-01,,164,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8N9F0,non_surface,active,NAT8L_HUMAN,false,,2026-08-06,2009-09-22,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9UHE5,non_surface,active,NAT8_HUMAN,false,,2026-08-06,2007-04-17,,164,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
P00387,non_surface,active,NB5R3_HUMAN,false,,2026-08-06,2007-01-23,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
