census_accession,span_aa,segment_count,extracellular_total_aa,discarded_aa,folded_fraction,topology,segments
Q02413,499,1,499,0,1.000,contiguous,50-548
P01730,371,1,371,0,1.000,contiguous,26-396
Q99677,43,4,107,64,0.402,intermittent,1-43;95-112;177-203;276-294
P15529,309,1,309,0,1.000,contiguous,35-343
P35348,27,4,60,33,0.450,intermittent,1-27;89-99;168-181;298-305
P22732,29,6,75,46,0.387,intermittent,40-68;120-126;183-192;299-313;364-371;434-439
Q9H208,37,4,86,49,0.430,intermittent,1-12;63-86;148-184;246-258
P60852,576,1,576,0,1.000,contiguous,26-601
Q9GZK4,37,4,94,57,0.394,intermittent,1-23;78-98;157-193;258-270
Q9H013,497,1,497,0,1.000,contiguous,203-699
Q8NGJ0,37,4,99,62,0.374,intermittent,1-28;83-103;162-198;263-275
P67812,143,1,143,0,1.000,contiguous,37-179
Q9NR97,801,1,801,0,1.000,contiguous,27-827
O95727,270,1,270,0,1.000,contiguous,18-287
Q7L0X0,671,1,671,0,1.000,contiguous,26-696
Q6IEY1,37,4,94,57,0.394,intermittent,1-25;80-100;159-195;259-269
P78536,457,1,457,0,1.000,contiguous,215-671
Q8NGS2,38,4,97,59,0.392,intermittent,1-25;80-100;159-196;260-272
Q7Z5H5,38,4,71,33,0.535,intermittent,1-5;70-88;148-185;256-264
O75192,114,1,114,0,1.000,contiguous,106-219
Q9NQ84,32,4,90,58,0.356,intermittent,24-50;107-120;177-208;263-279
O14718,26,4,72,46,0.361,intermittent,1-26;88-101;165-188;265-272
Q8IUC8,529,1,529,0,1.000,contiguous,28-556
O60669,23,6,64,41,0.359,intermittent,37-59;111-115;170-173;268-282;334-338;395-406
O95436,129,4,206,77,0.626,intermittent,122-135;234-362;429-485;547-552
Q8NGK4,36,4,102,66,0.353,intermittent,1-27;78-101;163-198;261-275
Q5VYJ5,2045,1,2045,0,1.000,contiguous,32-2076
Q9H7M9,162,1,162,0,1.000,contiguous,33-194
P21462,43,4,106,63,0.406,intermittent,1-27;84-100;163-205;267-285
Q8NHX9,34,8,140,106,0.243,intermittent,106-127;177-183;240-254;280-289;460-465;524-554;602-635;659-673
Q9NV92,28,2,33,5,0.848,intermittent,253-257;309-336
Q9BZM4,187,0,0,0,,no_accepted_segment,
Q5T3F8,40,6,110,70,0.364,intermittent,1-40;179-202;458-472;544-566;639-641;703-707
O95264,217,3,240,23,0.904,intermittent,22-238;287-303;436-441
Q8IU80,735,1,735,0,1.000,contiguous,77-811
Q8NG98,37,4,99,62,0.374,intermittent,1-25;76-99;161-197;259-271
Q9Y275,218,1,218,0,1.000,contiguous,68-285
Q8NG76,37,4,94,57,0.394,intermittent,1-23;78-98;157-193;258-270
P11215,1088,1,1088,0,1.000,contiguous,17-1104
B2RUZ4,11,1,11,0,1.000,contiguous,68-78
Q96MH6,178,2,228,50,0.781,intermittent,1-50;147-324
Q53GD3,174,5,344,170,0.506,intermittent,56-229;274-309;380-455;523-560;619-638
P29376,408,1,408,0,1.000,contiguous,17-424
P28908,367,1,367,0,1.000,contiguous,19-385
Q68DV7,174,1,174,0,1.000,contiguous,24-197
Q01974,370,1,370,0,1.000,contiguous,34-403
Q8N0U8,51,2,54,3,0.944,intermittent,37-87;136-138
Q5XXA6,87,4,196,109,0.444,intermittent,355-406;541-568;629-657;806-892
O00206,608,1,608,0,1.000,contiguous,24-631
Q8IYR6,291,1,291,0,1.000,contiguous,40-330
Q8NH43,37,4,94,57,0.394,intermittent,1-25;80-100;159-195;259-269
Q15303,626,1,626,0,1.000,contiguous,26-651
Q16842,323,1,323,0,1.000,contiguous,28-350
Q7Z2K6,315,5,580,265,0.543,intermittent,85-399;479-489;541-541;601-621;673-904
Q8NGX9,37,4,99,62,0.374,intermittent,1-25;76-99;161-197;259-271
Q9ULL4,1211,1,1211,0,1.000,contiguous,45-1255
Q8NF91,30,1,30,0,1.000,contiguous,8768-8797
Q9H6D8,123,1,123,0,1.000,contiguous,45-167
P57088,34,2,64,30,0.531,intermittent,2-31;122-155
Q7L985,518,1,518,0,1.000,contiguous,28-545
Q96P67,64,4,111,47,0.577,intermittent,1-11;77-92;178-197;273-336
P10747,134,1,134,0,1.000,contiguous,19-152
O14764,227,3,240,13,0.946,intermittent,25-251;299-308;450-452
P47893,38,4,105,67,0.362,intermittent,1-35;89-109;168-205;271-281
P38570,1108,1,1108,0,1.000,contiguous,19-1126
Q71RS6,37,6,76,39,0.487,intermittent,30-66;133-136;191-195;324-333;390-399;459-468
Q9UBH6,7,5,23,16,0.304,intermittent,260-264;338-343;423-429;504-506;586-587
Q96H72,65,5,109,44,0.596,intermittent,1-7;90-108;171-235;300-316;371-371
O95918,37,4,94,57,0.394,intermittent,1-23;78-98;157-193;258-270
P14616,175,1,175,0,1.000,contiguous,747-921
Q8NET6,311,1,311,0,1.000,contiguous,31-341
Q6DWJ6,29,4,76,47,0.382,intermittent,1-29;87-102;170-181;250-268
Q8NGP9,45,4,105,60,0.429,intermittent,1-28;80-100;161-205;261-271
Q11206,307,1,307,0,1.000,contiguous,27-333
A6NDX4,101,1,101,0,1.000,contiguous,24-124
Q3ZCQ3,64,1,64,0,1.000,contiguous,27-90
P49146,45,4,87,42,0.517,intermittent,1-45;114-119;187-213;293-301
Q6UWB4,306,0,0,0,,no_accepted_segment,
P21917,29,4,81,52,0.358,intermittent,1-29;93-110;174-192;368-382
Q8TDS7,24,4,52,28,0.462,intermittent,1-24;89-95;166-176;245-254
Q8NH18,36,4,98,62,0.367,intermittent,1-25;76-99;161-196;259-271
Q9BYE2,400,1,400,0,1.000,contiguous,187-586
Q9HAT1,437,1,437,0,1.000,contiguous,26-462
Q96AW1,38,1,38,0,1.000,contiguous,23-60
O43869,76,4,145,69,0.524,intermittent,1-76;129-148;213-247;308-321
Q6P995,321,1,321,0,1.000,contiguous,33-353
P47869,221,3,242,21,0.913,intermittent,29-249;301-311;442-451
Q14954,224,1,224,0,1.000,contiguous,22-245
Q6UWI2,238,1,238,0,1.000,contiguous,21-258
O60309,1546,1,1546,0,1.000,contiguous,36-1581
Q9Y2C9,555,1,555,0,1.000,contiguous,32-586
Q8NBI2,27,3,59,32,0.458,intermittent,29-45;105-119;176-202
P13498,5,2,6,1,0.833,intermittent,31-35;105-105
Q96JF0,497,1,497,0,1.000,contiguous,33-529
Q16739,72,3,102,30,0.706,intermittent,1-10;216-287;329-348
Q8NGA5,37,4,100,63,0.370,intermittent,1-26;77-100;162-198;261-273
Q8NGZ6,37,4,99,62,0.374,intermittent,1-25;76-99;161-197;259-271
Q8NCR0,477,1,477,0,1.000,contiguous,24-500
Q8N4V1,21,1,21,0,1.000,contiguous,23-43
Q14114,785,1,785,0,1.000,contiguous,42-826
Q8IVM8,107,6,139,32,0.770,intermittent,37-143;199-203;255-259;370-378;429-436;491-495
Q13724,778,1,778,0,1.000,contiguous,60-837
P32971,172,1,172,0,1.000,contiguous,63-234
O94778,28,3,79,51,0.354,intermittent,58-84;129-156;205-228
P34995,35,4,85,50,0.412,intermittent,1-35;97-111;178-201;322-332
P35968,745,1,745,0,1.000,contiguous,20-764
P21439,45,6,106,61,0.425,intermittent,74-118;211-217;319-332;733-755;853-853;957-972
Q96PE5,29,1,29,0,1.000,contiguous,1-29
Q4G148,411,1,411,0,1.000,contiguous,30-440
Q9NZQ8,12,4,38,26,0.316,intermittent,756-765;826-832;895-903;940-951
Q8NGI8,42,4,105,63,0.400,intermittent,1-26;77-100;156-197;260-272
P43119,23,4,71,48,0.324,intermittent,1-16;77-94;159-181;261-274
Q8NBD8,15,2,20,5,0.750,intermittent,36-40;95-109
Q8NGX5,37,4,99,62,0.374,intermittent,1-25;76-99;161-197;259-271
Q9BYF1,723,1,723,0,1.000,contiguous,18-740
O75631,189,1,189,0,1.000,contiguous,19-207
Q15155,1124,1,1124,0,1.000,contiguous,32-1155
P0C626,25,4,67,42,0.373,intermittent,1-24;119-143;189-196;259-268
P48048,25,2,34,9,0.735,intermittent,103-127;147-155
Q96L58,295,1,295,0,1.000,contiguous,35-329
Q8NHA4,37,4,96,59,0.385,intermittent,1-25;80-100;159-195;259-271
A1KXE4,100,1,100,0,1.000,contiguous,43-142
Q9BX84,79,4,125,46,0.632,intermittent,763-841;927-939;994-1012;1034-1047
P27487,738,1,738,0,1.000,contiguous,29-766
Q9NPD5,112,6,252,140,0.444,intermittent,49-67;120-168;238-255;354-373;426-537;596-629
Q13449,286,0,0,0,,no_accepted_segment,
Q96RP7,447,1,447,0,1.000,contiguous,40-486
Q96D96,17,2,24,7,0.708,intermittent,122-138;191-197
Q9NVV0,19,4,61,42,0.311,intermittent,1-19;71-82;122-139;196-207
Q8NGY1,37,4,99,62,0.374,intermittent,1-25;76-99;161-197;259-271
Q8NG77,37,4,94,57,0.394,intermittent,1-23;78-98;157-193;258-270
Q9NTJ5,7,1,7,0,1.000,contiguous,542-548
Q12791,86,5,128,42,0.672,intermittent,1-86;200-214;261-264;322-335;359-367
Q10981,315,1,315,0,1.000,contiguous,29-343
Q8N3G9,315,1,315,0,1.000,contiguous,25-339
Q92544,258,5,299,41,0.863,intermittent,24-281;368-376;438-449;523-535;592-598
Q9H7T0,1053,1,1053,0,1.000,contiguous,1-1053
Q6DN72,288,1,288,0,1.000,contiguous,20-307
P23510,133,1,133,0,1.000,contiguous,51-183
Q8TDX9,1748,6,2078,330,0.841,intermittent,1-1748;1978-1992;2157-2174;2303-2522;2584-2616;2668-2711
O14804,34,4,91,57,0.374,intermittent,1-34;92-109;176-204;275-284
Q2TAA5,19,1,19,0,1.000,contiguous,1-19
O43155,506,1,506,0,1.000,contiguous,36-541
Q13332,1253,1,1253,0,1.000,contiguous,30-1282
Q96FL9,526,1,526,0,1.000,contiguous,27-552
Q9NS66,28,4,85,57,0.329,intermittent,1-26;81-97;161-188;309-322
P17693,284,1,284,0,1.000,contiguous,25-308
Q9BWL3,7,1,7,0,1.000,contiguous,1-7
O94901,477,1,477,0,1.000,contiguous,309-785
Q9ULH4,514,1,514,0,1.000,contiguous,21-534
O14931,117,1,117,0,1.000,contiguous,19-135
Q6UXK5,606,1,606,0,1.000,contiguous,26-631
Q11128,340,1,340,0,1.000,contiguous,35-374
P32927,427,1,427,0,1.000,contiguous,17-443
Q9NX76,7,2,14,7,0.500,intermittent,61-67;128-134
P26010,704,1,704,0,1.000,contiguous,20-723
P49768,29,5,61,32,0.475,intermittent,104-132;190-194;242-248;402-407;454-467
Q8NGE8,37,4,94,57,0.394,intermittent,1-25;80-100;159-195;259-269
O00144,207,4,299,92,0.692,intermittent,23-229;288-315;377-400;469-508
Q9H2C8,36,4,109,73,0.330,intermittent,1-34;85-108;170-205;268-282
Q86V35,6,1,6,0,1.000,contiguous,210-215
Q6ZSY5,10,1,10,0,1.000,contiguous,790-799
Q6ZMI3,512,1,512,0,1.000,contiguous,40-551
Q96DB9,124,1,124,0,1.000,contiguous,22-145
Q9BT76,211,1,211,0,1.000,contiguous,30-240
Q8NGJ5,36,4,102,66,0.353,intermittent,1-27;78-101;163-198;261-275
P23945,349,4,402,53,0.868,intermittent,18-366;422-443;509-528;598-608
P69849,1124,1,1124,0,1.000,contiguous,32-1155
Q9Y5E6,664,1,664,0,1.000,contiguous,27-690
Q01344,322,1,322,0,1.000,contiguous,21-342
P57727,385,1,385,0,1.000,contiguous,70-454
Q96RI8,34,4,90,56,0.378,intermittent,1-32;90-107;169-202;277-282
Q9BRY0,22,5,44,22,0.500,intermittent,1-3;64-85;191-196;251-262;314-314
Q9HC58,63,6,97,34,0.649,intermittent,45-107;175-182;232-234;506-510;571-580;637-644
O95259,49,4,99,50,0.495,intermittent,242-248;310-345;400-448;471-477
Q8N131,140,1,140,0,1.000,contiguous,27-166
Q96R09,37,4,94,57,0.394,intermittent,1-23;78-98;157-193;258-270
O60279,539,1,539,0,1.000,contiguous,36-574
Q8N114,77,1,77,0,1.000,contiguous,29-105
P30530,426,1,426,0,1.000,contiguous,26-451
Q96RN1,35,6,122,87,0.287,intermittent,117-119;168-202;254-270;329-355;414-429;474-497
Q8NGH3,41,4,112,71,0.366,intermittent,1-41;96-116;175-211;276-288
Q969N2,504,1,504,0,1.000,contiguous,22-525
Q7Z7M8,374,1,374,0,1.000,contiguous,24-397
Q8IZT8,314,1,314,0,1.000,contiguous,33-346
Q16281,26,3,36,10,0.722,intermittent,193-198;267-270;322-347
Q14242,303,1,303,0,1.000,contiguous,18-320
Q9H209,37,4,100,63,0.370,intermittent,1-26;77-100;162-198;260-272
A6NMU1,36,4,92,56,0.391,intermittent,1-32;83-103;168-203;277-279
O43861,17,5,49,32,0.347,intermittent,169-173;402-409;952-963;1032-1038;1089-1105
A6NM03,45,4,101,56,0.446,intermittent,1-30;78-97;161-205;266-271
O75907,12,5,41,29,0.293,intermittent,119-130;185-191;309-315;421-428;482-488
P09564,155,1,155,0,1.000,contiguous,26-180
P23416,229,3,251,22,0.912,intermittent,28-256;305-315;442-452
Q9BX67,210,1,210,0,1.000,contiguous,32-241
Q9P2V4,505,1,505,0,1.000,contiguous,22-526
Q9ULC0,172,1,172,0,1.000,contiguous,19-190
Q6P1J6,1396,1,1396,0,1.000,contiguous,22-1417
Q9Y284,11,2,12,1,0.917,intermittent,52-52;96-106
O14522,722,1,722,0,1.000,contiguous,26-747
P15144,935,1,935,0,1.000,contiguous,33-967
P14784,214,1,214,0,1.000,contiguous,27-240
Q5I7T1,37,6,105,68,0.352,intermittent,28-64;119-126;172-175;278-283;339-365;414-436
Q9UNG2,129,1,129,0,1.000,contiguous,49-177
P43307,189,1,189,0,1.000,contiguous,19-207
Q9UKB5,239,1,239,0,1.000,contiguous,44-282
Q5SRI9,433,1,433,0,1.000,contiguous,30-462
Q9UL52,383,1,383,0,1.000,contiguous,41-423
Q9H237,38,4,135,97,0.281,intermittent,39-66;117-152;220-252;359-396
Q9BSA4,127,3,276,149,0.460,intermittent,1-44;109-213;262-388
Q9Y5U4,19,3,36,17,0.528,intermittent,52-70;127-129;176-189
O95395,412,1,412,0,1.000,contiguous,27-438
Q8NHC6,43,4,122,79,0.352,intermittent,1-43;94-117;173-214;277-289
Q6QNK2,542,4,569,27,0.953,intermittent,26-567;624-632;696-710;781-783
Q9H252,44,4,75,31,0.587,intermittent,283-298;362-370;420-463;485-490
Q96KV6,219,1,219,0,1.000,contiguous,28-246
P29033,33,2,66,33,0.500,intermittent,41-73;157-189
O15374,22,6,63,41,0.349,intermittent,38-59;109-109;165-174;321-337;394-394;447-458
P0CG37,132,0,0,0,,no_accepted_segment,
Q8N205,28,1,28,0,1.000,contiguous,377-404
Q96R69,37,4,87,50,0.425,intermittent,1-18;73-93;152-188;252-262
O95377,38,2,73,35,0.521,intermittent,41-75;150-187
Q9GZK7,37,4,100,63,0.370,intermittent,1-27;78-100;162-198;260-272
Q9Y219,1054,1,1054,0,1.000,contiguous,27-1080
P32297,219,3,253,34,0.866,intermittent,32-250;286-307;494-505
Q9UGQ2,4,2,6,2,0.667,intermittent,54-57;124-125
Q96AP7,219,1,219,0,1.000,contiguous,30-248
Q8TDQ1,137,1,137,0,1.000,contiguous,20-156
Q9Y5H5,668,1,668,0,1.000,contiguous,30-697
O75078,509,1,509,0,1.000,contiguous,226-734
Q8NFY4,642,1,642,0,1.000,contiguous,21-662
Q86VZ1,28,4,74,46,0.378,intermittent,1-19;79-88;160-187;259-275
Q8NH79,37,4,97,60,0.381,intermittent,1-23;74-97;159-195;257-269
Q9NYV7,36,4,67,31,0.537,intermittent,1-1;63-84;147-182;250-257
Q6UWN5,199,0,0,0,,no_accepted_segment,
Q9GZN0,35,4,77,42,0.455,intermittent,1-35;95-116;180-195;307-310
Q13530,96,5,179,83,0.536,intermittent,1-96;154-159;225-239;351-406;468-473
Q9ULK0,542,2,714,172,0.759,intermittent,21-562;659-830
Q10469,418,1,418,0,1.000,contiguous,30-447
O95497,469,0,0,0,,no_accepted_segment,
A6NGU5,542,1,542,0,1.000,contiguous,27-568
Q8TBE1,41,2,42,1,0.976,intermittent,32-72;160-160
P56159,404,0,0,0,,no_accepted_segment,
P0C7V7,142,1,142,0,1.000,contiguous,25-166
Q9UJQ1,206,1,206,0,1.000,contiguous,30-235
O60241,904,4,944,40,0.958,intermittent,33-936;987-994;1058-1078;1143-1153
P33151,552,1,552,0,1.000,contiguous,48-599
Q9NSI5,266,1,266,0,1.000,contiguous,1-266
Q96A59,39,2,63,24,0.619,intermittent,248-271;322-360
O75185,398,5,463,65,0.860,intermittent,128-129;253-293;353-750;826-837;896-905
Q96RL6,534,1,534,0,1.000,contiguous,28-561
O75871,120,1,120,0,1.000,contiguous,36-155
P55064,18,4,37,19,0.486,intermittent,34-39;109-126;180-180;192-203
P51686,48,4,89,41,0.539,intermittent,1-48;110-120;186-208;284-290
Q8NFU1,19,2,28,9,0.679,intermittent,52-60;256-274
Q9Y5H0,663,1,663,0,1.000,contiguous,30-692
Q9HDB5,527,1,527,0,1.000,contiguous,36-562
P49286,42,4,97,55,0.433,intermittent,1-42;98-115;177-200;275-287
Q9H7F0,53,5,95,42,0.558,intermittent,227-232;431-448;962-962;1021-1073;1127-1143
Q99523,678,1,678,0,1.000,contiguous,78-755
P19440,543,1,543,0,1.000,contiguous,27-569
Q13304,64,4,138,74,0.464,intermittent,1-64;114-133;197-223;282-308
O43525,20,4,53,33,0.377,intermittent,144-153;214-225;283-302;316-326
P22303,556,0,0,0,,no_accepted_segment,
Q7L8C5,6,1,6,0,1.000,contiguous,1-6
Q8NGK5,37,4,103,66,0.359,intermittent,1-27;78-101;163-199;262-276
Q9HCK4,838,1,838,0,1.000,contiguous,22-859
P56746,50,2,69,19,0.725,intermittent,25-74;141-159
P32249,31,4,87,56,0.356,intermittent,1-31;96-105;169-192;266-287
P35498,100,16,353,253,0.283,intermittent,147-152;206-213;270-369;385-397;788-797;850-854;913-938;953-965;1238-1250;1305-1313;1370-1415;1434-1457;1561-1571;1624-1636;1689-1711;1727-1759
O76000,37,4,96,59,0.385,intermittent,1-25;80-100;159-195;260-272
Q8TAB3,657,1,657,0,1.000,contiguous,22-678
A6NMZ5,41,4,107,66,0.383,intermittent,1-25;69-100;159-199;255-263
Q8WZA6,28,4,85,57,0.329,intermittent,1-28;129-141;217-242;293-310
Q6UXU4,103,2,126,23,0.817,intermittent,30-132;195-217
Q6V0I7,4466,1,4466,0,1.000,contiguous,39-4504
Q9Y2C2,336,1,336,0,1.000,contiguous,71-406
P17813,561,1,561,0,1.000,contiguous,26-586
Q14392,608,1,608,0,1.000,contiguous,20-627
O60487,128,1,128,0,1.000,contiguous,27-154
Q8NAC3,518,1,518,0,1.000,contiguous,21-538
O15394,678,1,678,0,1.000,contiguous,20-697
Q9HBT6,560,1,560,0,1.000,contiguous,60-619
P01375,177,1,177,0,1.000,contiguous,57-233
Q8TDN7,27,4,40,13,0.675,intermittent,1-27;79-81;138-138;198-206
P16410,126,1,126,0,1.000,contiguous,36-161
Q9UGP8,98,2,112,14,0.875,intermittent,1-14;91-188
Q9BRR3,216,2,311,95,0.695,intermittent,44-259;309-403
Q9NZV1,905,1,905,0,1.000,contiguous,35-939
Q16832,378,1,378,0,1.000,contiguous,22-399
O95498,470,0,0,0,,no_accepted_segment,
Q9H244,27,4,84,57,0.321,intermittent,1-27;83-97;163-185;260-278
Q96RA2,37,4,99,62,0.374,intermittent,1-25;76-99;161-197;259-271
P18850,272,1,272,0,1.000,contiguous,399-670
Q99463,39,4,92,53,0.424,intermittent,1-39;105-111;172-206;280-290
P42658,749,1,749,0,1.000,contiguous,117-865
P48549,24,2,33,9,0.727,intermittent,106-129;149-157
P21730,37,4,97,60,0.381,intermittent,1-37;94-110;175-200;266-282
Q9Y5G6,664,1,664,0,1.000,contiguous,29-692
Q7Z4T8,416,1,416,0,1.000,contiguous,28-443
Q6NUS6,559,1,559,0,1.000,contiguous,23-581
Q8NGT0,37,4,105,68,0.352,intermittent,1-25;76-99;161-197;259-277
P30273,5,1,5,0,1.000,contiguous,19-23
P20594,436,1,436,0,1.000,contiguous,23-458
Q969M3,2,2,3,1,0.667,intermittent,146-146;195-196
Q8NGT7,37,4,95,58,0.389,intermittent,1-24;79-99;158-194;259-271
Q8NH70,37,4,92,55,0.402,intermittent,1-23;78-98;157-193;257-267
Q9BZM5,191,0,0,0,,no_accepted_segment,
P10696,483,0,0,0,,no_accepted_segment,
Q96LB1,28,4,51,23,0.549,intermittent,1-28;94-102;171-178;251-256
Q9Y267,93,6,146,53,0.637,intermittent,92-184;232-235;292-297;401-408;459-488;534-538
Q9UMX9,27,6,58,31,0.466,intermittent,68-68;132-138;206-216;340-366;420-425;499-504
P26717,138,1,138,0,1.000,contiguous,94-231
Q8IZF2,985,4,1028,43,0.958,intermittent,22-1006;1075-1090;1150-1173;1242-1244
O94886,51,6,124,73,0.411,intermittent,1-51;168-191;445-462;533-554;625-628;690-694
Q5VWK5,332,1,332,0,1.000,contiguous,24-355
Q96SJ8,119,2,134,15,0.888,intermittent,35-49;105-223
P11230,221,1,221,0,1.000,contiguous,24-244
Q13291,217,1,217,0,1.000,contiguous,21-237
Q9H1U4,484,1,484,0,1.000,contiguous,31-514
Q86UW2,34,1,34,0,1.000,contiguous,1-34
Q14162,402,1,402,0,1.000,contiguous,20-421
P56748,53,2,81,28,0.654,intermittent,29-81;139-166
Q9H7Z7,57,1,57,0,1.000,contiguous,1-57
P47883,38,4,100,62,0.380,intermittent,1-28;83-103;162-199;263-275
Q5JTV8,228,1,228,0,1.000,contiguous,356-583
P59542,33,4,57,24,0.579,intermittent,1-1;77-87;149-181;248-259
Q9Y673,7,1,7,0,1.000,contiguous,1-7
O75129,884,2,1041,157,0.849,intermittent,50-206;456-1339
Q9UBS5,572,4,632,60,0.905,intermittent,20-591;653-667;732-768;826-833
Q13113,28,1,28,0,1.000,contiguous,1-28
Q76MJ5,396,1,396,0,1.000,contiguous,35-430
Q8N6L0,20,1,20,0,1.000,contiguous,543-562
Q9H2A9,393,1,393,0,1.000,contiguous,32-424
Q8NGU9,54,4,94,40,0.574,intermittent,1-3;65-81;184-237;315-334
Q14957,535,2,704,169,0.760,intermittent,20-554;645-813
O00591,218,2,229,11,0.952,intermittent,24-241;291-301
P28827,722,1,722,0,1.000,contiguous,21-742
Q6UXZ0,191,1,191,0,1.000,contiguous,30-220
Q9N2K0,488,1,488,0,1.000,contiguous,36-523
Q13586,191,1,191,0,1.000,contiguous,23-213
Q96PB1,274,8,353,79,0.776,intermittent,40-313;385-395;461-461;508-513;569-605;660-671;720-725;792-797
Q7Z7M1,662,4,689,27,0.961,intermittent,1-662;713-720;784-800;879-880
P29972,24,4,53,29,0.453,intermittent,30-46;110-133;182-186;200-206
P47901,35,4,96,61,0.365,intermittent,1-35;94-108;174-201;304-321
Q9Y5P1,36,4,98,62,0.367,intermittent,1-23;74-97;159-194;257-271
Q6Y1H2,30,3,54,24,0.556,intermittent,61-79;126-130;188-217
Q6P4E1,401,1,401,0,1.000,contiguous,36-436
Q5VTY9,45,5,106,61,0.425,intermittent,24-68;150-166;263-284;380-385;450-465
Q96AG4,42,1,42,0,1.000,contiguous,266-307
O43490,285,3,629,344,0.453,intermittent,20-108;179-433;508-792
Q9BQS7,1087,1,1087,0,1.000,contiguous,24-1110
Q9BWV1,825,1,825,0,1.000,contiguous,31-855
P34903,246,3,271,25,0.908,intermittent,29-274;326-336;479-492
Q7L0J3,130,6,180,50,0.722,intermittent,191-205;255-262;316-334;469-598;648-651;709-712
P46093,16,4,39,23,0.410,intermittent,1-8;81-85;157-172;251-260
P13473,347,1,347,0,1.000,contiguous,29-375
O75063,384,1,384,0,1.000,contiguous,26-409
O15389,425,1,425,0,1.000,contiguous,17-441
Q9BS91,60,5,109,49,0.550,intermittent,30-53;117-119;169-228;285-303;352-354
Q9BSA9,27,6,80,53,0.338,intermittent,57-77;129-138;206-210;283-309;361-375;441-442
O15466,338,1,338,0,1.000,contiguous,39-376
Q5DID0,1251,1,1251,0,1.000,contiguous,22-1272
O60637,106,2,124,18,0.855,intermittent,33-50;107-212
P13637,42,5,71,29,0.592,intermittent,108-118;304-306;787-793;863-904;967-974
Q8NGB6,37,4,94,57,0.394,intermittent,1-25;80-100;159-195;261-271
Q9P1W3,37,6,106,69,0.349,intermittent,1-37;160-182;434-448;520-542;615-617;679-683
Q99571,284,1,284,0,1.000,contiguous,55-338
P10321,284,1,284,0,1.000,contiguous,25-308
Q9UKF2,489,1,489,0,1.000,contiguous,199-687
Q8N6F1,53,2,75,22,0.707,intermittent,29-81;139-160
Q96R08,36,4,96,60,0.375,intermittent,1-23;74-97;159-194;257-269
Q8IYV9,271,1,271,0,1.000,contiguous,22-292
Q96B42,25,2,43,18,0.581,intermittent,1-25;74-91
Q3SY77,461,1,461,0,1.000,contiguous,23-483
P40189,597,1,597,0,1.000,contiguous,23-619
Q8NH67,55,4,131,76,0.420,intermittent,1-55;106-129;191-226;289-304
P56937,229,1,229,0,1.000,contiguous,1-229
Q15612,37,4,96,59,0.385,intermittent,1-25;80-100;159-195;260-272
P04201,36,4,85,49,0.424,intermittent,1-36;87-104;173-185;246-263
Q96R67,37,4,92,55,0.402,intermittent,1-23;78-98;157-193;257-267
Q02094,28,6,68,40,0.412,intermittent,24-51;101-113;164-167;230-239;292-295;354-362
O43889,124,1,124,0,1.000,contiguous,248-371
O60500,1032,1,1032,0,1.000,contiguous,23-1054
Q9P035,24,3,45,21,0.533,intermittent,171-185;236-241;299-322
Q96S52,478,1,478,0,1.000,contiguous,40-517
P47881,38,4,98,60,0.388,intermittent,1-28;83-103;162-199;265-275
O60603,568,1,568,0,1.000,contiguous,21-588
Q8NGK6,36,4,105,69,0.343,intermittent,1-29;80-103;165-200;263-278
P23229,1027,1,1027,0,1.000,contiguous,24-1050
Q8NGF4,54,4,127,73,0.425,intermittent,1-34;78-104;157-210;267-278
P46695,57,1,57,0,1.000,contiguous,100-156
Q96EX2,181,3,295,114,0.614,intermittent,1-181;236-255;351-444
P41595,56,4,111,55,0.505,intermittent,1-56;114-129;193-216;346-360
Q9NYW7,33,4,61,28,0.541,intermittent,1-9;77-81;146-178;244-257
P78410,219,1,219,0,1.000,contiguous,30-248
P43007,77,5,137,60,0.562,intermittent,68-80;140-216;278-298;393-405;440-452
Q14028,23,3,48,25,0.479,intermittent,679-687;745-760;809-831
Q07011,163,1,163,0,1.000,contiguous,24-186
Q8NG92,37,4,99,62,0.374,intermittent,1-25;76-99;160-196;258-270
Q8WYK1,1213,1,1213,0,1.000,contiguous,25-1237
Q8IXH8,587,1,587,0,1.000,contiguous,28-614
Q9HBE5,213,1,213,0,1.000,contiguous,20-232
Q99884,77,1,77,0,1.000,contiguous,138-214
Q9UIK5,280,1,280,0,1.000,contiguous,41-320
P30301,21,4,43,22,0.488,intermittent,30-41;107-127;176-178;194-200
Q8NGJ9,36,4,102,66,0.353,intermittent,1-27;78-101;163-198;261-275
P46095,74,4,116,42,0.638,intermittent,1-74;131-142;206-230;305-309
Q9GZQ6,43,4,109,66,0.394,intermittent,1-43;102-117;180-214;293-307
Q9Y2Y6,202,1,202,0,1.000,contiguous,25-226
P40126,449,1,449,0,1.000,contiguous,24-472
Q9NY37,377,1,377,0,1.000,contiguous,83-459
P21731,29,4,88,59,0.330,intermittent,1-29;88-106;173-193;271-289
Q14721,20,4,54,34,0.370,intermittent,209-228;281-294;352-364;385-391
Q96P68,34,4,110,76,0.309,intermittent,1-34;91-116;173-201;264-284
Q7Z4J2,253,1,253,0,1.000,contiguous,24-276
P0C623,33,4,84,51,0.393,intermittent,1-26;85-98;164-196;258-268
P27449,16,3,29,13,0.552,intermittent,1-10;77-92;153-155
B0YJ81,30,3,55,25,0.545,intermittent,96-114;160-165;222-251
Q8NGP3,36,4,96,60,0.375,intermittent,1-23;74-97;159-194;257-269
